id,keyword,category,intent,estimated_monthly_search_volume,competition,commercial_value_1_5,suggested_page_type,priority_cluster,notes
1,air freight from china to usa,Commercial keywords,Buy / RFQ,610,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
2,air freight from china to canada,Commercial keywords,Buy / RFQ,650,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
3,air freight from china to mexico,Commercial keywords,Buy / RFQ,680,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
4,air freight from china to brazil,Commercial keywords,Buy / RFQ,720,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
5,air freight from china to germany,Commercial keywords,Buy / RFQ,760,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
6,air freight from china to france,Commercial keywords,Buy / RFQ,600,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
7,air freight from china to italy,Commercial keywords,Buy / RFQ,640,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
8,air freight from china to spain,Commercial keywords,Buy / RFQ,680,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9,air freight from china to united kingdom,Commercial keywords,Buy / RFQ,720,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
10,air freight from china to netherlands,Commercial keywords,Buy / RFQ,750,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
11,air freight from china to belgium,Commercial keywords,Buy / RFQ,600,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
12,air freight from china to poland,Commercial keywords,Buy / RFQ,640,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
13,air freight from china to uae,Commercial keywords,Buy / RFQ,670,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
14,air freight from china to saudi arabia,Commercial keywords,Buy / RFQ,710,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
15,air freight from china to qatar,Commercial keywords,Buy / RFQ,750,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
16,air freight from china to kuwait,Commercial keywords,Buy / RFQ,590,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
17,air freight from china to oman,Commercial keywords,Buy / RFQ,630,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
18,air freight from china to bahrain,Commercial keywords,Buy / RFQ,670,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
19,air freight from china to turkey,Commercial keywords,Buy / RFQ,710,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
20,air freight from china to nigeria,Commercial keywords,Buy / RFQ,740,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
21,air freight from china to ghana,Commercial keywords,Buy / RFQ,590,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
22,air freight from china to kenya,Commercial keywords,Buy / RFQ,630,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
23,air freight from china to south africa,Commercial keywords,Buy / RFQ,660,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
24,air freight from china to ethiopia,Commercial keywords,Buy / RFQ,700,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
25,air freight from china to tanzania,Commercial keywords,Buy / RFQ,740,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
26,air freight from china to uganda,Commercial keywords,Buy / RFQ,580,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
27,air freight from china to egypt,Commercial keywords,Buy / RFQ,620,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
28,air freight from china to morocco,Commercial keywords,Buy / RFQ,660,High,5,Landing page,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
