rank,name,category,primary_domain,region,archetype,observed_site_structure,seo_keywords,traffic_sources,landing_page_pattern,conversion_path,product_tools,technical_architecture_inference,strategic_takeaway,source
1,Kuehne+Nagel,Freight Forwarder,kuehne-nagel.com,Switzerland,global forwarder,Air/Ocean/Road/Contract Logistics/Industry solutions/Digital myKN,"air freight, sea freight, contract logistics, myKN, customs clearance","Brand direct, organic category pages, customer portal usage, referrals",service category + industry proof + portal CTA,"Get a quote, myKN login, contact experts","myKN, seaexplorer, visibility, quote/book","Enterprise CMS, CDN, structured service taxonomy, portal/app layer",Depth in digital tools turns freight forwarding into daily workflow.,Armstrong & Associates Top 25 2026 plus official site review
2,DSV,Freight Forwarder,dsv.com,Denmark,global forwarder,"Solutions by mode, industry, e-commerce, investor/location pages","air freight services, sea freight, road transport, logistics solutions","Brand direct, organic, location SEO",mode landing pages with local branches,Quote/contact forms and office finder,"tracking, self-service portals","Enterprise CMS, location pages, structured data likely",Local office pages plus mode pages compound capture.,Armstrong & Associates Top 25 2026 plus official site review
3,DHL Global Forwarding,Freight Forwarder,dhl.com,Germany,global forwarder,"Products, Solutions, Air/Ocean/Road/Rail, Industrial Projects, myDHLi, Help Center","global forwarding, freight quote, air freight, ocean freight, customs","Direct 52.44% on dhl.com Similarweb, organic, referrals",brand trust + product CTA + education hub,"Quote+Book, myDHLi login, contact, developer portal","freight quote, track, carbon calculator, market updates, help center","Large multilingual CMS, customer portal, API/developer center",Winning pattern is service pages plus tools plus support content.,Armstrong & Associates Top 25 2026 plus official site review
4,Sinotrans,Freight Forwarder,sinotrans.com,China,state-scale forwarder,"Logistics, freight forwarding, contract logistics, cross-border ecommerce","china logistics, freight forwarding china, supply chain","Brand/direct, domestic search, B2B referrals",corporate proof + service coverage,"contact branches, enterprise inquiry","tracking, branch network","Corporate CMS, bilingual content",Chinese giant has scale; independent operator can win with English niche expertise.,Armstrong & Associates Top 25 2026 plus official site review
5,Nippon Express,Freight Forwarder,nipponexpress.com,Japan,global forwarder,"Services, industry solutions, region sites, case studies","global logistics, air freight, pharma logistics","Brand, organic, enterprise referral",industry-first credibility pages,"contact, inquiry forms","tracking, warehousing, visibility","Global CMS, regional localization",Industry verticals build trust for high-value cargo.,Armstrong & Associates Top 25 2026 plus official site review
6,CEVA Logistics,Freight Forwarder,cevalogistics.com,France,global forwarder/3PL,"Air/Ocean/Ground/Contract Logistics, sectors, insights","freight management, contract logistics, project logistics","Brand, organic, CMA CGM referrals",service + sector + case proof,"contact sales, quote","tracking, myCEVA, e-commerce tools",Enterprise web + portal ecosystem,Sector pages are a lead-quality filter.,Armstrong & Associates Top 25 2026 plus official site review
7,Expeditors,Freight Forwarder,expeditors.com,USA,asset-light forwarder,"Services, technology, industries, investor content","customs brokerage, air freight, order management","Brand/direct, organic, customer referrals",professional operations-first pages,"contact local office, customer login","Exp.O visibility, order management","Enterprise CMS, proprietary platform",Operational authority matters more than visual polish in complex freight.,Armstrong & Associates Top 25 2026 plus official site review
8,C.H. Robinson,Freight Forwarder,chrobinson.com,USA,3PL/freight marketplace,"Freight services, managed services, tech, insights","truckload, global forwarding, freight quote","Direct, organic, paid, marketplace referrals",platform + managed service split,"quote, Navisphere login, talk to expert","Navisphere, freight quote, market insights",Enterprise app ecosystem,Market intelligence content creates recurring visits.,Armstrong & Associates Top 25 2026 plus official site review
9,Kerry Logistics Network,Freight Forwarder,kerrylogistics.com,Hong Kong,Asia forwarder,"Integrated logistics, international freight, supply chain, verticals","asia logistics, international freight forwarding","Brand/direct, Asia regional organic",network credibility + service pages,contact offices,"tracking, warehouse services","Corporate CMS, regional sites",Asia-specific network authority can differentiate EASCargo.,Armstrong & Associates Top 25 2026 plus official site review
10,GEODIS,Freight Forwarder,geodis.com,France,global logistics,"Freight forwarding, contract logistics, road, supply chain optimization","freight forwarding, supply chain optimization","Brand, organic, enterprise referrals",solutions + thought leadership,"contact sales, customer space","tracking, visibility, analytics",Enterprise CMS and portals,Supply-chain optimization language attracts enterprise leads.,Armstrong & Associates Top 25 2026 plus official site review
11,COSCO Shipping Logistics,Freight Forwarder,coscoshipping-logistics.com,China,shipping-backed logistics,"Shipping logistics, project logistics, supply chain, China network","china shipping logistics, project logistics","Brand/direct, shipping ecosystem referrals",scale/network proof,enterprise contact,tracking/network services,Corporate CMS,Ocean brand spillover is a referral moat.,Armstrong & Associates Top 25 2026 plus official site review
12,Maersk Logistics,Freight Forwarder,maersk.com,Denmark,integrator,"Ocean, air, customs, warehousing, digital logistics","global logistics, air freight, customs services","Brand/direct, organic, account portal",integrated logistics value proposition,"quote/book, login, contact","instant prices, tracking, supply chain dashboard","Large web platform, APIs, account portal",Bundled logistics narrative raises customer LTV.,Armstrong & Associates Top 25 2026 plus official site review
13,Hellmann Worldwide Logistics,Freight Forwarder,hellmann.com,Germany,global forwarder,"Air/Sea/Road/Rail, contract logistics, industry solutions","air freight, sea freight, healthcare logistics","Brand, organic, local offices",service pages + sector expertise,quote/contact,"tracking, Hellmann portal",Enterprise CMS + portal,Mid-sized global forwarders rely on trust and industry specialization.,Armstrong & Associates Top 25 2026 plus official site review
14,Kintetsu World Express,Freight Forwarder,kwe.com,Japan,global forwarder,"Air/ocean/logistics, global network, industry solutions","air cargo forwarder, global logistics","Brand/direct, organic",network-first service pages,contact local office,"tracking, customs support",Corporate CMS,Network pages help validate route capability.,Armstrong & Associates Top 25 2026 plus official site review
15,UPS Supply Chain Solutions,Freight Forwarder,ups.com,USA,parcel-integrator logistics,"Freight, healthcare, warehousing, customs brokerage","ups freight, supply chain solutions, customs brokerage","Massive direct, organic, account portal",brand service selector,"quote, ship, track, contact","ship/track tools, UPS APIs","Enterprise platform, developer APIs",Self-serve tools are the conversion backbone.,Armstrong & Associates Top 25 2026 plus official site review
16,Yusen Logistics,Freight Forwarder,yusen-logistics.com,Japan,global forwarder,"Freight forwarding, contract logistics, supply chain solutions","freight forwarding, supply chain management","Brand, organic, regional traffic",service + sector proof,contact office,"tracking, visibility tools",Corporate CMS,Steady niche service pages compete in long-tail search.,Armstrong & Associates Top 25 2026 plus official site review
17,LX Pantos,Freight Forwarder,lxpantos.com,Korea,global logistics,Air/ocean/rail/express/warehouse/project logistics,"project logistics, air freight korea","Brand/direct, conglomerate referrals",global network and capabilities,"contact, customer service","tracking, SCM systems",Corporate CMS,Project logistics deserves separate landing pages and case studies.,Armstrong & Associates Top 25 2026 plus official site review
18,Dachser,Freight Forwarder,dachser.com,Germany,global logistics,"Air & sea, road logistics, contract logistics, food logistics","air sea logistics, contract logistics","Brand, organic, thought leadership",network + service pages,contact branches,"eLogistics portal, tracking","Enterprise CMS, portal",Dense branch pages plus sector content build authority.,Armstrong & Associates Top 25 2026 plus official site review
