day,phase,development_task,content_task,seo_task,growth_task,daily_output
1,Foundation,"Set route registry, page type schemas, Supabase tables",Finalize positioning and site taxonomy,Connect GSC/Bing/web analytics,Define RFQ lead scoring,Foundational system ready
2,Foundation,Build keyword and competitor ingestion scripts,Lock 10 vertical site briefs,Baseline technical crawl,Create WhatsApp/email CTA patterns,Foundational system ready
3,Foundation,Create metadata and schema factories,Create first 100 route page briefs,Define canonical strategy,Map partner backlink targets,Foundational system ready
4,Foundation,Set sitemap index and robots/llms generation,Create first 100 tool briefs,Create keyword priority scoring,Build newsletter concept,Foundational system ready
5,Foundation,Create RFQ lead data model,Write editorial quality checklist,Set sitemap submission process,Create quote intake qualification fields,Foundational system ready
6,Foundation,Implement internal link graph prototype,Map proof/case-study inventory,Build schema validation checklist,Define weekly report format,Foundational system ready
7,Foundation,Create content CMS workflow,Build first 50 article outlines,Define internal link rules,Set 30/60/90 KPI dashboard,Foundational system ready
8,Brand Site Rebuild,Rebuild brand homepage as RFQ/tool gateway,Write China air freight pillar,Add Organization/Service schema,Create lead magnet checklist,Brand site conversion hub live
9,Brand Site Rebuild,Build service page template,Write project cargo pillar,Create breadcrumb/schema tests,Add tool-to-RFQ CTAs,Brand site conversion hub live
10,Brand Site Rebuild,Build route page template,Write oversized cargo pillar,Optimize Core Web Vitals,Create email follow-up sequence,Brand site conversion hub live
11,Brand Site Rebuild,Build cargo type page template,Write air charter pillar,Submit sitemap,Create LinkedIn post set,Brand site conversion hub live
12,Brand Site Rebuild,Build case study template,Write Africa/Middle East lane pillars,Set canonical tags,Create partner outreach email,Brand site conversion hub live
13,Brand Site Rebuild,Build RFQ form v1,Prepare 5 case study drafts,Add FAQ schema to service pages,Launch newsletter signup,Brand site conversion hub live
14,Brand Site Rebuild,Deploy and verify brand site,Publish first 20 pages,Indexing verification,Review first leads,Brand site conversion hub live
15,Tools Sprint 1,Build and ship tool pages 1-3,Publish 8 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 1,"Run outreach to 10 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
16,Tools Sprint 1,Build and ship tool pages 4-6,Publish 9 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 1,"Run outreach to 11 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
17,Tools Sprint 1,Build and ship tool pages 7-9,Publish 10 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 1,"Run outreach to 12 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
18,Tools Sprint 1,Build and ship tool pages 10-12,Publish 8 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 1,"Run outreach to 13 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
19,Tools Sprint 1,Build and ship tool pages 13-15,Publish 9 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 2,"Run outreach to 14 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
20,Tools Sprint 1,Build and ship tool pages 16-18,Publish 10 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 2,"Run outreach to 10 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
21,Tools Sprint 1,Build and ship tool pages 19-21,Publish 8 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 2,"Run outreach to 11 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
22,Tools Sprint 1,Build and ship tool pages 22-24,Publish 9 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 2,"Run outreach to 12 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
23,Tools Sprint 1,Build and ship tool pages 25-27,Publish 10 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 3,"Run outreach to 13 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
24,Tools Sprint 1,Build and ship tool pages 28-30,Publish 8 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 3,"Run outreach to 14 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
25,Tools Sprint 1,Build and ship tool pages 31-33,Publish 9 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 3,"Run outreach to 10 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
26,Tools Sprint 1,Build and ship tool pages 34-36,Publish 10 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 3,"Run outreach to 11 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
27,Tools Sprint 1,Build and ship tool pages 37-39,Publish 8 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 4,"Run outreach to 12 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
28,Tools Sprint 1,Build and ship tool pages 40-42,Publish 9 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 4,"Run outreach to 13 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
29,Tools Sprint 1,Build and ship tool pages 43-45,Publish 10 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 4,"Run outreach to 14 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
30,Tools Sprint 1,Build and ship tool pages 46-48,Publish 8 route/cargo/doc articles from keyword clusters,Add internal links from new tools to service/RFQ pages; refresh sitemap partition 4,"Run outreach to 10 logistics blogs, import/export directories, and trade associations",48 core tools and first 150 content pages shipped
31,Vertical Sites Sprint 1,Launch vertical site/template batch 1 with shared components and unique topical nav,"Publish 13 pages focused on Africa, Middle East, project cargo and charter clusters","Run duplicate-content check, enforce canonical boundaries, add hub-spoke internal links",Create LinkedIn/WhatsApp/email content from each shipped guide and pitch 5 backlink targets,First 5 vertical authority properties live
32,Vertical Sites Sprint 1,Launch vertical site/template batch 1 with shared components and unique topical nav,"Publish 10 pages focused on Africa, Middle East, project cargo and charter clusters","Run duplicate-content check, enforce canonical boundaries, add hub-spoke internal links",Create LinkedIn/WhatsApp/email content from each shipped guide and pitch 5 backlink targets,First 5 vertical authority properties live
33,Vertical Sites Sprint 1,Launch vertical site/template batch 1 with shared components and unique topical nav,"Publish 11 pages focused on Africa, Middle East, project cargo and charter clusters","Run duplicate-content check, enforce canonical boundaries, add hub-spoke internal links",Create LinkedIn/WhatsApp/email content from each shipped guide and pitch 5 backlink targets,First 5 vertical authority properties live
34,Vertical Sites Sprint 1,Launch vertical site/template batch 2 with shared components and unique topical nav,"Publish 12 pages focused on Africa, Middle East, project cargo and charter clusters","Run duplicate-content check, enforce canonical boundaries, add hub-spoke internal links",Create LinkedIn/WhatsApp/email content from each shipped guide and pitch 5 backlink targets,First 5 vertical authority properties live
